1,World War Z,"Action,Adventure,Horror"
2,The Conjuring,"Horror,Mystery,Thriller"
3,Split,"Horror,Thriller"
4,Get Out,"Horror,Mystery"
5,Paranormal Activity 3,"Horror"
6,The Conjuring 2,"Horror,Mystery,Thriller"
7,Don't Breathe,"Crime,Horror,Thriller"
8,Annabelle,"Horror,Mystery,Thriller"
9,Insidious: Chapter 2,"Horror,Thriller"
10,Goosebumps,"Adventure,Comedy,Family"
11,Dark Shadows,"Comedy,Fantasy,Horror"
12,The Purge: Election Year,"Action,Horror,Sci-Fi"
13,Boo! A Madea Halloween,"Comedy,Horror"
14,10 Cloverfield Lane,"Drama,Horror,Mystery"
15,Mama,"Horror,Thriller"
16,The Purge: Anarchy,"Action,Horror,Sci-Fi"
17,Lights Out,"Horror"
18,Warm Bodies,"Comedy,Horror,Romance"
19,The Visit,"Horror,Thriller"
20,The Purge,"Horror,Sci-Fi,Thriller"
21,Underworld: Awakening,"Action,Fantasy,Horror"
22,Dracula Untold,"Action,Drama,Fantasy"
23,Hansel & Gretel: Witch Hunters,"Action,Fantasy,Horror"
24,The Shallows,"Drama,Horror,Thriller"
25,The Woman in Black,"Drama,Fantasy,Horror"
26,Evil Dead,"Fantasy,Horror,Thriller"
27,Paranormal Activity 4,"Horror"
28,The Devil Inside,"Horror"
29,Insidious: Chapter 3,"Horror,Thriller"
30,Ouija,"Horror,Thriller"
31,The Possession,"Horror,Thriller"
32,Sinister,"Horror,Mystery"
33,Poltergeist,"Horror,Thriller"
34,Krampus,"Comedy,Fantasy,Horror"
35,Final Destination 5,"Horror,Thriller"
36,Resident Evil: Retribution,"Action,Horror,Sci-Fi"
37,The Cabin in the Woods,"Horror"
38,Scream 4,"Horror,Mystery"
39,Red Riding Hood,"Fantasy,Horror,Mystery"
40,Abraham Lincoln: Vampire Hunter,"Action,Fantasy,Horror"
41,The Roommate,"Drama,Horror,Thriller"
42,The Boy,"Horror,Mystery,Thriller"
43,Frankenweenie,"Animation,Comedy,Family"
44,Carrie,"Drama,Horror"
45,Ouija: Origin of Evil,"Horror,Thriller"
46,Texas Chainsaw 3D,"Horror,Thriller"
47,The Rite,"Drama,Horror,Mystery"
48,Paranormal Activity: The Marked Ones,"Horror,Thriller"
49,House at the End of the Street,"Drama,Horror,Thriller"
50,Unfriended,"Horror"
51,The Mortal Instruments: City of Bones,"Action,Fantasy,Horror"
52,Crimson Peak,"Drama,Fantasy,Horror"
53,Deliver Us from Evil,"Horror,Mystery,Thriller"
54,Underworld: Blood Wars,"Action,Horror"
55,When the Bough Breaks,"Drama,Horror,Mystery"
56,Priest,"Action,Fantasy,Horror"
57,Rings,"Drama,Horror"
58,Sinister 2,"Horror,Mystery,Thriller"
59,Oculus,"Horror,Mystery"
60,Resident Evil: The Final Chapter,"Action,Horror,Sci-Fi"
61,The Forest,"Horror,Mystery,Thriller"
62,The Woman in Black 2: Angel of Death,"Drama,Horror,Thriller"
63,The Lazarus Effect,"Horror,Mystery,Sci-Fi"
64,The VVitch: A New-England Folktale,"Horror,Mystery"
65,The Gallows,"Horror,Thriller"
66,The Bye Bye Man,"Horror,Thriller"
67,The Darkest Hour,"Action,Adventure,Horror"
68,As Above, So Below,"Horror,Mystery,Thriller"
69,Blair Witch,"Horror,Thriller"
70,Shark Night 3D,"Horror,Thriller"
71,You're Next,"Horror,Thriller"
72,Fright Night,"Comedy,Horror"
73,Paranormal Activity: The Ghost Dimension,"Horror"
74,Chernobyl Diaries,"Horror,Mystery,Thriller"
75,Apollo 18,"Horror,Mystery,Sci-Fi"
76,Silent Hill: Revelation 3D,"Adventure,Drama,Horror"
77,Dark Skies,"Horror,Sci-Fi,Thriller"
78,The Thing,"Horror,Mystery,Sci-Fi"
79,Devil's Due,"Horror,Mystery"
80,The Last Exorcism Part II,"Drama,Horror,Thriller"
81,It Follows,"Horror,Mystery"
82,Silent House,"Adventure,Drama,Horror"
83,Pride and Prejudice and Zombies,"Action,Horror,Romance"
84,The Darkness,"Horror,Thriller"
85,Meet the Blacks,"Comedy,Horror"
86,The Quiet Ones,"Horror"
87,A Cure for Wellness,"Drama,Fantasy,Horror"
88,Vampire Academy,"Action,Comedy,Fantasy"
89,The Green Inferno,"Adventure,Horror"
90,The Collection,"Horror"
91,Victor Frankenstein,"Drama,Horror,Sci-Fi"
92,The Apparition,"Horror,Thriller"
93,Incarnate,"Horror,Thriller"
94,The Belko Experiment,"Action,Horror,Thriller"
95,Morgan,"Horror,Sci-Fi,Thriller"
96,Scouts Guide to the Zombie Apocalypse,"Action,Comedy,Horror"
97,What We Do in the Shadows,"Comedy,Fantasy,Horror"
98,Green Room,"Crime,Horror,Thriller"
99,The Other Side of the Door,"Horror"
100,The Pyramid,"Action,Adventure,Horror"
101,Under the Skin,"Drama,Horror,Sci-Fi"
102,The Disappointments Room,"Drama,Horror,Thriller"
103,Busanhaeng,"Action,Drama,Horror"
104,Shin Godzilla,"Action,Adventure,Drama"
105,Only Lovers Left Alive,"Comedy,Drama,Horror"
106,Tusk,"Comedy,Drama,Horror"
107,The Vatican Tapes,"Horror,Thriller"
108,The Neon Demon,"Horror,Thriller"
109,Repentance,"Drama,Horror,Thriller"
110,The Remaining,"Horror,Thriller"
111,Goodnight Mommy,"Horror,Mystery,Thriller"
112,The Lords of Salem,"Horror,Thriller"
113,The Babadook,"Drama,Horror"
114,Más negro que la noche,"Horror"
115,The Ghouls,"Action,Horror,Thriller"
116,The Wailing,"Drama,Fantasy,Horror"
117,31,"Horror,Thriller"
118,Hobo with a Shotgun,"Action,Comedy,Horror"
119,Range 15,"Comedy,Horror"
120,Piranha 3DD,"Comedy,Horror"
121,Creature,"Horror"
122,Go Goa Gone,"Action,Adventure,Comedy"
123,Munger Road,"Horror,Mystery,Thriller"
124,Shingeki no kyojin,"Action,Adventure,Drama"
125,The Love Witch,"Comedy,Horror"
126,Escape from Tomorrow,"Drama,Fantasy,Horror"
127,Horns,"Drama,Fantasy,Horror"
128,Filth to Ashes, Flesh to Dust,"Horror"
129,Deadtime,"Horror,Thriller"
130,John Dies at the End,"Comedy,Horror,Sci-Fi"
131,Maggie,"Drama,Horror"
132,The Human Centipede II (Full Sequence),"Horror"
133,Slaughter Creek,"Drama,Horror"
134,V/H/S,"Horror,Thriller"
135,Knights of Badassdom,"Adventure,Comedy,Fantasy"
136,Byzantium,"Drama,Fantasy,Horror"
137,Grave,"Drama,Horror"
138,Tale of Tales,"Drama,Fantasy,Horror"
139,Life After Beth,"Comedy,Horror,Romance"
140,The Innkeepers,"Horror"
141,We Are What We Are,"Drama,Horror,Thriller"
142,No One Lives,"Horror,Thriller"
143,Córki dancingu,"Comedy,Drama,Horror"
144,Intruders,"Fantasy,Horror,Thriller"
145,Cheap Thrills,"Comedy,Crime,Drama"
146,Cooties,"Comedy,Horror,Sci-Fi"
147,Clown,"Horror,Thriller"
148,Spring,"Horror,Romance,Sci-Fi"
149,The Greasy Strangler,"Comedy,Horror"
150,Aftershock,"Action,Adventure,Horror"
151,Sightseers,"Adventure,Comedy,Crime"
152,Knock Knock,"Drama,Horror,Thriller"
153,A Field in England,"Drama,History,Horror"
154,XX,"Horror"
155,The Bay,"Horror,Sci-Fi,Thriller"
156,Der Vampir auf der Couch,"Comedy,Horror"
157,Kill List,"Crime,Drama,Horror"
158,The Eyes of My Mother,"Drama,Horror"
159,Under the Shadow,"Horror"
160,The Last Days on Mars,"Horror,Sci-Fi,Thriller"
161,The Divide,"Drama,Horror,Sci-Fi"
162,The ABCs of Death,"Comedy,Horror"
163,V/H/S/2,"Horror,Thriller"
164,The Fiancé,"Horror"
165,Phantom of the Theatre,"Fantasy,Horror,Mystery"
166,The Day,"Action,Drama,Horror"
167,Bad Milo,"Comedy,Horror"
168,Juan of the Dead,"Action,Comedy,Horror"
169,The Channel,"Drama,Horror,Thriller"
170,Journey to the West,"Action,Adventure,Comedy"
171,Kiss of the Damned,"Drama,Horror,Romance"
172,Massacre on Aisle 12,"Comedy,Horror"
173,Maniac,"Horror,Thriller"
174,The Wanderers,"Drama,Fantasy,Horror"
175,Silent Night,"Comedy,Horror,Mystery"
176,Honeymoon,"Horror,Mystery,Thriller"
177,13 Sins,"Horror,Thriller"
178,The Sacrament,"Horror,Thriller"
179,[REC] 3: Genesis,"Horror,Romance"
180,The Hallow,"Horror"
181,Zombeavers,"Comedy,Horror"
182,Nothing Left to Fear,"Horror"
183,The Strange Color of Your Body's Tears,"Horror,Mystery,Thriller"
184,Stage Fright,"Horror,Musical"
185,ABCs of Death 2,"Comedy,Horror"
186,Almost Human,"Horror,Sci-Fi,Thriller"
187,Southbound,"Fantasy,Horror,Thriller"
188,100 Bloody Acres,"Comedy,Horror"
189,Girls Against Boys,"Drama,Horror,Thriller"
190,Alléluia,"Crime,Horror,Romance"
191,Universal Soldier: Day of Reckoning,"Action,Horror,Mystery"
192,Hell Baby,"Comedy,Horror"
193,Ahí va el diablo,"Horror,Thriller"
194,The Charnel House,"Horror,Thriller"
195,The Devil's Hand,"Horror,Thriller"
196,Come Back to Me,"Horror,Mystery,Thriller"
197,Auto Shop of Horrors,"Comedy,Horror"
198,The Moth Diaries,"Drama,Fantasy,Horror"
199,Raze,"Action,Horror"
200,Contracted,"Drama,Horror,Thriller"
